stimNum,stimType,request,rt,trial_type,trial_index,subject,group,Code.ST,Gender,Age,condition,situation,formatting,mean_entitlement,sd_entitlement,mean_imposition,sd_imposition,mean_power,sd_power,mean_distance,sd_distance
1,high_entitlement,Any chance you could spare some time to help me move my desk? Thanks!,30978,survey-text,7,75040,group1,EM,Male,31,high,interaction,EM,5.25,1.850819255,3.6875,1.652287261,4.333333333,1.310080935,4.708333333,1.090741176
1,high_entitlement,if you have a chance could you please help me move this desk in my room,36858,survey-text,6,55368,group1,M,Male,34,high,interaction,M,5.25,1.850819255,3.6875,1.652287261,4.333333333,1.310080935,4.708333333,1.090741176
1,high_entitlement,Can you help me move my desk into my bedroom?,38917,survey-text,3,91013,group1,M,Female,31,high,interaction,M,5.25,1.850819255,3.6875,1.652287261,4.333333333,1.310080935,4.708333333,1.090741176
1,high_entitlement,"I know I didn't help you much, but can you help me move the desk into my room?",27767,survey-text,5,59507,group1,M,Male,33,high,interaction,M,5.25,1.850819255,3.6875,1.652287261,4.333333333,1.310080935,4.708333333,1.090741176
1,high_entitlement,"Hey man, I have a desk that I still need to move into my bedroom, could you lend a hand?",49740,survey-text,5,89429,group1,M,Male,24,high,interaction,M,5.25,1.850819255,3.6875,1.652287261,4.333333333,1.310080935,4.708333333,1.090741176
1,high_entitlement,Could you lend me a quick hand with moving my desk since I helped you out earlier?,46237,survey-text,2,43857,group1,M,Male,28,high,interaction,M,5.25,1.850819255,3.6875,1.652287261,4.333333333,1.310080935,4.708333333,1.090741176
1,high_entitlement,I almost threw my back out. Please help me with this desk. Thanks.,23049,survey-text,3,82767,group1,D,Male,29,high,interaction,D,5.25,1.850819255,3.6875,1.652287261,4.333333333,1.310080935,4.708333333,1.090741176
1,high_entitlement,"Hey colleague, I still got to move my desk after all this work.  Any chance I could get some help please?",39870,survey-text,8,49665,group1,EM,Male,41,high,interaction,EM,5.25,1.850819255,3.6875,1.652287261,4.333333333,1.310080935,4.708333333,1.090741176
1,high_entitlement,"Dude, could you give me a hand with my desk, please?",44062,survey-text,7,34992,group1,M,Male,45,high,interaction,M,5.25,1.850819255,3.6875,1.652287261,4.333333333,1.310080935,4.708333333,1.090741176
1,high_entitlement,Can you help with my move,11162,survey-text,9,6582,group1,M,Male,27,high,interaction,M,5.25,1.850819255,3.6875,1.652287261,4.333333333,1.310080935,4.708333333,1.090741176
1,high_entitlement,Can you help me move?,36926,survey-text,8,49422,group1,M,Female,69,high,interaction,M,5.25,1.850819255,3.6875,1.652287261,4.333333333,1.310080935,4.708333333,1.090741176
1,high_entitlement,Hey can you help me bring this desk into my room?,54839,survey-text,6,74756,group1,M,Female,29,high,interaction,M,5.25,1.850819255,3.6875,1.652287261,4.333333333,1.310080935,4.708333333,1.090741176
