rt,trial_type,trial_index,subject,group,stimType,stimNum,type,power_norm,distance_norm,imposition_norm,entitlement_norm,Gender,Native_Speaker,Age
24181,survey-multi-choice,2,10080,group2,high_entitlement,6,institution,7,2,2,6,Female,Yes,64
19543,survey-multi-choice,3,10080,group2,low_entitlement,3,relationship,7,4,3,6,Female,Yes,64
20410,survey-multi-choice,4,10080,group2,low_entitlement,1,interaction,6,6,5,5,Female,Yes,64
14102,survey-multi-choice,5,10080,group2,high_entitlement,4,relationship,6,7,6,7,Female,Yes,64
12748,survey-multi-choice,6,10080,group2,high_entitlement,2,interaction,6,6,5,7,Female,Yes,64
14805,survey-multi-choice,7,10080,group2,low_entitlement,9,urgency,5,5,5,6,Female,Yes,64
15807,survey-multi-choice,8,10080,group2,low_entitlement,5,institution,7,1,6,6,Female,Yes,64
17402,survey-multi-choice,9,10080,group2,high_entitlement,8,urgency,6,6,6,7,Female,Yes,64
18924,survey-multi-choice,10,10080,group2,high_entitlement,10,institution,7,1,1,7,Female,Yes,64
15815,survey-multi-choice,11,10080,group2,low_entitlement,7,urgency,5,6,6,6,Female,Yes,64
23887,survey-multi-choice,2,1077,group2,high_entitlement,6,institution,6,5,6,5,Male,Yes,31
12745,survey-multi-choice,3,1077,group2,low_entitlement,9,urgency,6,5,4,5,Male,Yes,31
6129,survey-multi-choice,4,1077,group2,low_entitlement,3,relationship,6,5,5,5,Male,Yes,31
4976,survey-multi-choice,5,1077,group2,low_entitlement,5,institution,4,5,6,6,Male,Yes,31
8352,survey-multi-choice,6,1077,group2,high_entitlement,10,institution,5,4,5,5,Male,Yes,31
8010,survey-multi-choice,7,1077,group2,low_entitlement,7,urgency,6,5,5,4,Male,Yes,31
11311,survey-multi-choice,8,1077,group2,high_entitlement,4,relationship,4,4,6,6,Male,Yes,31
4551,survey-multi-choice,9,1077,group2,low_entitlement,1,interaction,5,5,5,6,Male,Yes,31
7399,survey-multi-choice,10,1077,group2,high_entitlement,8,urgency,6,6,6,5,Male,Yes,31
4648,survey-multi-choice,11,1077,group2,high_entitlement,2,interaction,5,5,5,6,Male,Yes,31
7474,survey-multi-choice,2,11403,group1,high_entitlement,5,institution,5,6,7,6,Male,Yes,26
