stimNum,stimType,rt,trial_type,trial_index,subject,group,formatting,answer,Gender,Age,condition,situation,judgment,formatting.relabel,mean_entitlement,sd_entitlement,mean_imposition,sd_imposition,mean_power,sd_power,mean_distance,sd_distance
1,high_entitlement,1590,survey-likert,6,1147,group2,indirect,3,Male,20,high,interaction,-1.252574197,indirect,5.25,1.850819255,3.6875,1.652287261,4.333333333,1.310080935,4.708333333,1.090741176
1,high_entitlement,34726,survey-likert,9,50739,group4,wonder,5,Female,38,high,interaction,0.747425803,embedded modal,5.25,1.850819255,3.6875,1.652287261,4.333333333,1.310080935,4.708333333,1.090741176
1,high_entitlement,16402,survey-likert,8,67329,group3,modal,4,Female,28,high,interaction,-0.252574197,modal,5.25,1.850819255,3.6875,1.652287261,4.333333333,1.310080935,4.708333333,1.090741176
1,high_entitlement,4469,survey-likert,7,98554,group1,direct,3,Male,36,high,interaction,-1.252574197,direct,5.25,1.850819255,3.6875,1.652287261,4.333333333,1.310080935,4.708333333,1.090741176
1,high_entitlement,27007,survey-likert,5,65042,group2,indirect,3,Male,31,high,interaction,-1.252574197,indirect,5.25,1.850819255,3.6875,1.652287261,4.333333333,1.310080935,4.708333333,1.090741176
1,high_entitlement,5143,survey-likert,19,45596,group2,indirect,0,Male,34,high,interaction,-4.252574197,indirect,5.25,1.850819255,3.6875,1.652287261,4.333333333,1.310080935,4.708333333,1.090741176
1,high_entitlement,4035,survey-likert,13,87176,group1,direct,6,Male,31,high,interaction,1.747425803,direct,5.25,1.850819255,3.6875,1.652287261,4.333333333,1.310080935,4.708333333,1.090741176
1,high_entitlement,22228,survey-likert,19,29160,group2,indirect,4,Male,32,high,interaction,-0.252574197,indirect,5.25,1.850819255,3.6875,1.652287261,4.333333333,1.310080935,4.708333333,1.090741176
1,high_entitlement,2937,survey-likert,19,55429,group4,wonder,6,Female,23,high,interaction,1.747425803,embedded modal,5.25,1.850819255,3.6875,1.652287261,4.333333333,1.310080935,4.708333333,1.090741176
1,high_entitlement,14805,survey-likert,18,25173,group1,direct,6,Male,32,high,interaction,1.747425803,direct,5.25,1.850819255,3.6875,1.652287261,4.333333333,1.310080935,4.708333333,1.090741176
1,high_entitlement,11338,survey-likert,18,73278,group4,wonder,6,Female,59,high,interaction,1.747425803,embedded modal,5.25,1.850819255,3.6875,1.652287261,4.333333333,1.310080935,4.708333333,1.090741176
1,high_entitlement,9969,survey-likert,18,96726,group2,indirect,3,Female,24,high,interaction,-1.252574197,indirect,5.25,1.850819255,3.6875,1.652287261,4.333333333,1.310080935,4.708333333,1.090741176
1,high_entitlement,6112,survey-likert,12,90363,group1,direct,5,Male,35,high,interaction,0.747425803,direct,5.25,1.850819255,3.6875,1.652287261,4.333333333,1.310080935,4.708333333,1.090741176
1,high_entitlement,16078,survey-likert,8,63264,group3,modal,6,Female,28,high,interaction,1.747425803,modal,5.25,1.850819255,3.6875,1.652287261,4.333333333,1.310080935,4.708333333,1.090741176
1,high_entitlement,11657,survey-likert,11,45082,group3,modal,5,Female,51,high,interaction,0.747425803,modal,5.25,1.850819255,3.6875,1.652287261,4.333333333,1.310080935,4.708333333,1.090741176
1,high_entitlement,8475,survey-likert,15,38125,group4,wonder,6,Female,33,high,interaction,1.747425803,embedded modal,5.25,1.850819255,3.6875,1.652287261,4.333333333,1.310080935,4.708333333,1.090741176
1,high_entitlement,6933,survey-likert,11,1536,group2,indirect,4,Male,34,high,interaction,-0.252574197,indirect,5.25,1.850819255,3.6875,1.652287261,4.333333333,1.310080935,4.708333333,1.090741176
1,high_entitlement,4497,survey-likert,13,23900,group2,indirect,1,Male,27,high,interaction,-3.252574197,indirect,5.25,1.850819255,3.6875,1.652287261,4.333333333,1.310080935,4.708333333,1.090741176
1,high_entitlement,9836,survey-likert,12,50886,group2,indirect,3,Female,44,high,interaction,-1.252574197,indirect,5.25,1.850819255,3.6875,1.652287261,4.333333333,1.310080935,4.708333333,1.090741176
1,high_entitlement,11877,survey-likert,8,67486,group1,direct,3,Male,26,high,interaction,-1.252574197,direct,5.25,1.850819255,3.6875,1.652287261,4.333333333,1.310080935,4.708333333,1.090741176
1,high_entitlement,38287,survey-likert,2,87309,group1,direct,2,Male,50,high,interaction,-2.252574197,direct,5.25,1.850819255,3.6875,1.652287261,4.333333333,1.310080935,4.708333333,1.090741176
1,high_entitlement,13767,survey-likert,8,65327,group2,indirect,5,Female,47,high,interaction,0.747425803,indirect,5.25,1.850819255,3.6875,1.652287261,4.333333333,1.310080935,4.708333333,1.090741176
1,high_entitlement,15870,survey-likert,19,14583,group2,indirect,6,Male,32,high,interaction,1.747425803,indirect,5.25,1.850819255,3.6875,1.652287261,4.333333333,1.310080935,4.708333333,1.090741176
1,high_entitlement,6901,survey-likert,7,29579,group1,direct,3,Male,28,high,interaction,-1.252574197,direct,5.25,1.850819255,3.6875,1.652287261,4.333333333,1.310080935,4.708333333,1.090741176
1,high_entitlement,27158,survey-likert,8,55610,group1,direct,5,Male,70,high,interaction,0.747425803,direct,5.25,1.850819255,3.6875,1.652287261,4.333333333,1.310080935,4.708333333,1.090741176
1,high_entitlement,11713,survey-likert,4,53235,group1,direct,6,Male,29,high,interaction,1.747425803,direct,5.25,1.850819255,3.6875,1.652287261,4.333333333,1.310080935,4.708333333,1.090741176
1,high_entitlement,12354,survey-likert,12,74284,group4,wonder,3,Male,55,high,interaction,-1.252574197,embedded modal,5.25,1.850819255,3.6875,1.652287261,4.333333333,1.310080935,4.708333333,1.090741176
1,high_entitlement,11593,survey-likert,3,97825,group4,wonder,6,Male,30,high,interaction,1.747425803,embedded modal,5.25,1.850819255,3.6875,1.652287261,4.333333333,1.310080935,4.708333333,1.090741176
1,high_entitlement,1836,survey-likert,8,17266,group1,direct,4,Male,26,high,interaction,-0.252574197,direct,5.25,1.850819255,3.6875,1.652287261,4.333333333,1.310080935,4.708333333,1.090741176
1,high_entitlement,3323,survey-likert,13,45552,group2,indirect,5,Male,24,high,interaction,0.747425803,indirect,5.25,1.850819255,3.6875,1.652287261,4.333333333,1.310080935,4.708333333,1.090741176
1,high_entitlement,3025,survey-likert,16,15639,group3,modal,6,Male,25,high,interaction,1.747425803,modal,5.25,1.850819255,3.6875,1.652287261,4.333333333,1.310080935,4.708333333,1.090741176
1,high_entitlement,1476,survey-likert,4,83487,group3,modal,4,Female,28,high,interaction,-0.252574197,modal,5.25,1.850819255,3.6875,1.652287261,4.333333333,1.310080935,4.708333333,1.090741176
1,high_entitlement,6661,survey-likert,4,2524,group4,wonder,5,Female,34,high,interaction,0.747425803,embedded modal,5.25,1.850819255,3.6875,1.652287261,4.333333333,1.310080935,4.708333333,1.090741176
1,high_entitlement,25111,survey-likert,14,24477,group3,modal,6,Male,55,high,interaction,1.747425803,modal,5.25,1.850819255,3.6875,1.652287261,4.333333333,1.310080935,4.708333333,1.090741176
1,high_entitlement,12664,survey-likert,10,68260,group1,direct,4,Female,37,high,interaction,-0.252574197,direct,5.25,1.850819255,3.6875,1.652287261,4.333333333,1.310080935,4.708333333,1.090741176
1,high_entitlement,7730,survey-likert,17,19384,group2,indirect,4,Male,33,high,interaction,-0.252574197,indirect,5.25,1.850819255,3.6875,1.652287261,4.333333333,1.310080935,4.708333333,1.090741176
1,high_entitlement,18460,survey-likert,4,65469,group1,direct,3,Female,24,high,interaction,-1.252574197,direct,5.25,1.850819255,3.6875,1.652287261,4.333333333,1.310080935,4.708333333,1.090741176
1,high_entitlement,4195,survey-likert,12,88735,group3,modal,1,Male,63,high,interaction,-3.252574197,modal,5.25,1.850819255,3.6875,1.652287261,4.333333333,1.310080935,4.708333333,1.090741176
1,high_entitlement,17278,survey-likert,17,15364,group1,direct,5,Male,26,high,interaction,0.747425803,direct,5.25,1.850819255,3.6875,1.652287261,4.333333333,1.310080935,4.708333333,1.090741176
1,high_entitlement,1960,survey-likert,4,33044,group2,indirect,5,Male,22,high,interaction,0.747425803,indirect,5.25,1.850819255,3.6875,1.652287261,4.333333333,1.310080935,4.708333333,1.090741176
1,high_entitlement,8572,survey-likert,12,5100,group3,modal,4,Male,45,high,interaction,-0.252574197,modal,5.25,1.850819255,3.6875,1.652287261,4.333333333,1.310080935,4.708333333,1.090741176
1,high_entitlement,15689,survey-likert,11,53320,group1,direct,4,Female,33,high,interaction,-0.252574197,direct,5.25,1.850819255,3.6875,1.652287261,4.333333333,1.310080935,4.708333333,1.090741176
1,high_entitlement,23197,survey-likert,16,74693,group2,indirect,6,Male,39,high,interaction,1.747425803,indirect,5.25,1.850819255,3.6875,1.652287261,4.333333333,1.310080935,4.708333333,1.090741176
1,high_entitlement,2412,survey-likert,17,70835,group3,modal,5,Male,27,high,interaction,0.747425803,modal,5.25,1.850819255,3.6875,1.652287261,4.333333333,1.310080935,4.708333333,1.090741176
1,high_entitlement,8781,survey-likert,2,15793,group3,modal,3,Female,37,high,interaction,-1.252574197,modal,5.25,1.850819255,3.6875,1.652287261,4.333333333,1.310080935,4.708333333,1.090741176
1,high_entitlement,9420,survey-likert,17,92254,group3,modal,1,Male,54,high,interaction,-3.252574197,modal,5.25,1.850819255,3.6875,1.652287261,4.333333333,1.310080935,4.708333333,1.090741176
1,high_entitlement,39591,survey-likert,2,41322,group2,indirect,6,Male,30,high,interaction,1.747425803,indirect,5.25,1.850819255,3.6875,1.652287261,4.333333333,1.310080935,4.708333333,1.090741176
1,high_entitlement,33501,survey-likert,13,2654,group3,modal,4,Male,27,high,interaction,-0.252574197,modal,5.25,1.850819255,3.6875,1.652287261,4.333333333,1.310080935,4.708333333,1.090741176
1,high_entitlement,5134,survey-likert,8,77794,group3,modal,3,Female,42,high,interaction,-1.252574197,modal,5.25,1.850819255,3.6875,1.652287261,4.333333333,1.310080935,4.708333333,1.090741176
1,high_entitlement,11742,survey-likert,7,61656,group1,direct,1,Male,27,high,interaction,-3.252574197,direct,5.25,1.850819255,3.6875,1.652287261,4.333333333,1.310080935,4.708333333,1.090741176
1,high_entitlement,21161,survey-likert,17,53072,group2,indirect,3,Male,26,high,interaction,-1.252574197,indirect,5.25,1.850819255,3.6875,1.652287261,4.333333333,1.310080935,4.708333333,1.090741176
