stimNum,stimType,rt,trial_index,subject,group,answer,code,Gender,Age,condition,situation,formatting,mean_entitlement,sd_entitlement,mean_imposition,sd_imposition,mean_power,sd_power,mean_distance,sd_distance
1,high_entitlement,2180,8,71391,group1,"Hey, help me move my stuff.",D,Male,29,high,interaction,D,5.25,1.850819255,3.6875,1.652287261,4.333333333,1.310080935,4.708333333,1.090741176
1,high_entitlement,2340,11,34496,group1,Could you help me move this stuff into my apartment?,M,Male,27,high,interaction,M,5.25,1.850819255,3.6875,1.652287261,4.333333333,1.310080935,4.708333333,1.090741176
1,high_entitlement,19815,7,61519,group1,"Hey, help me move my stuff.",D,Male,37,high,interaction,D,5.25,1.850819255,3.6875,1.652287261,4.333333333,1.310080935,4.708333333,1.090741176
1,high_entitlement,27882,3,42017,group1,Could you help me move this stuff into my apartment?,M,Female,37,high,interaction,M,5.25,1.850819255,3.6875,1.652287261,4.333333333,1.310080935,4.708333333,1.090741176
1,high_entitlement,2597,11,33903,group1,Could you help me move this stuff into my apartment?,M,Female,32,high,interaction,M,5.25,1.850819255,3.6875,1.652287261,4.333333333,1.310080935,4.708333333,1.090741176
1,high_entitlement,30336,8,24718,group1,Is there any way you could help move my stuff?,W,Female,40,high,interaction,EM,5.25,1.850819255,3.6875,1.652287261,4.333333333,1.310080935,4.708333333,1.090741176
1,high_entitlement,9913,11,56292,group1,Could you help me move this stuff into my apartment?,M,Female,31,high,interaction,M,5.25,1.850819255,3.6875,1.652287261,4.333333333,1.310080935,4.708333333,1.090741176
1,high_entitlement,36037,7,7044,group1,Could you help me move this stuff into my apartment?,M,Female,23,high,interaction,M,5.25,1.850819255,3.6875,1.652287261,4.333333333,1.310080935,4.708333333,1.090741176
1,high_entitlement,32102,9,32379,group1,Could you help me move this stuff into my apartment?,M,Male,23,high,interaction,M,5.25,1.850819255,3.6875,1.652287261,4.333333333,1.310080935,4.708333333,1.090741176
1,high_entitlement,10370,7,46162,group1,Is there any way you could help move my stuff?,W,Male,35,high,interaction,EM,5.25,1.850819255,3.6875,1.652287261,4.333333333,1.310080935,4.708333333,1.090741176
1,high_entitlement,11972,5,57860,group1,Could you help me move this stuff into my apartment?,M,Male,35,high,interaction,M,5.25,1.850819255,3.6875,1.652287261,4.333333333,1.310080935,4.708333333,1.090741176
1,high_entitlement,6248,5,45852,group1,"Hey, help me move my stuff.",D,Male,27,high,interaction,D,5.25,1.850819255,3.6875,1.652287261,4.333333333,1.310080935,4.708333333,1.090741176
1,high_entitlement,3085,3,67700,group1,Could you help me move this stuff into my apartment?,M,Male,29,high,interaction,M,5.25,1.850819255,3.6875,1.652287261,4.333333333,1.310080935,4.708333333,1.090741176
1,high_entitlement,8071,6,81283,group1,Could you help me move this stuff into my apartment?,M,Female,30,high,interaction,M,5.25,1.850819255,3.6875,1.652287261,4.333333333,1.310080935,4.708333333,1.090741176
1,high_entitlement,30398,9,95061,group1,"Hey, help me move my stuff.",D,Female,33,high,interaction,D,5.25,1.850819255,3.6875,1.652287261,4.333333333,1.310080935,4.708333333,1.090741176
