stimNum,stimType,rt,trial_type,trial_index,time_elapsed,internal_node_id,subject,group,answer,Formatting,Gender,Age,Code.SB,condition,situation,formatting,mean_entitlement,sd_entitlement,mean_imposition,sd_imposition,mean_power,sd_power,mean_distance,sd_distance
1,high_entitlement,62782,survey-text,6,279207,0.0-6.0,72957,group1,I'm worried about my forehead  it's bleeding could you please give me a lift to hospital.,M,Male,40,,high,non_institutional,M,5.666666667,2.107063433,3.085106383,2.272996368,5.208333333,1.687984236,2.520833333,1.989221844
1,high_entitlement,71732,survey-text,3,193178,0.0-3.0,3382,group1,I had a bad fall and I'm bleeding a lot. Would you mind taking me to the hospital to get it checked out?,M,Male,27,,high,non_institutional,M,5.666666667,2.107063433,3.085106383,2.272996368,5.208333333,1.687984236,2.520833333,1.989221844
1,high_entitlement,57151,survey-text,3,277925,0.0-3.0,20158,group1,will you please take me to the emergency room?,M,Male,47,M,high,non_institutional,M,5.666666667,2.107063433,3.085106383,2.272996368,5.208333333,1.687984236,2.520833333,1.989221844
1,high_entitlement,83264,survey-text,4,397615,0.0-4.0,62299,group1,"I think I need to go to the emergency room, because all this blood loss is going to make me weak.",D,Female,55,,high,non_institutional,D,5.666666667,2.107063433,3.085106383,2.272996368,5.208333333,1.687984236,2.520833333,1.989221844
1,high_entitlement,116174,survey-text,3,204312,0.0-3.0,6795,group1,"Let assume my roommate name as MAX.max i lost my blood so we go to emergency room quickly. get the vehicle drive fast man.",D,Male,25,,high,non_institutional,D,5.666666667,2.107063433,3.085106383,2.272996368,5.208333333,1.687984236,2.520833333,1.989221844
1,high_entitlement,28988,survey-text,8,230211,0.0-8.0,76092,group1,"hey dude, i really need to go to the ER, can you drive me",M,Male,53,,high,non_institutional,M,5.666666667,2.107063433,3.085106383,2.272996368,5.208333333,1.687984236,2.520833333,1.989221844
1,high_entitlement,21062,survey-text,7,207839,0.0-7.0,10498,group1,We need to go to the ER!,D,Male,48,IS,high,non_institutional,D,5.666666667,2.107063433,3.085106383,2.272996368,5.208333333,1.687984236,2.520833333,1.989221844
1,high_entitlement,28250,survey-text,5,214670,0.0-5.0,21894,group1,Can you get me to the hospital? ,M,Female,44,M,high,non_institutional,M,5.666666667,2.107063433,3.085106383,2.272996368,5.208333333,1.687984236,2.520833333,1.989221844
1,high_entitlement,29082,survey-text,2,128621,0.0-2.0,35325,group1,"Hey I need a ride to the ER, now!",D,Male,41,,high,non_institutional,D,5.666666667,2.107063433,3.085106383,2.272996368,5.208333333,1.687984236,2.520833333,1.989221844
1,high_entitlement,58228,survey-text,8,968625,0.0-8.0,21490,group1,"hi dude, i have problem here. i want your help. please can you go for emergency room? ",M,Male,27,M,high,non_institutional,M,5.666666667,2.107063433,3.085106383,2.272996368,5.208333333,1.687984236,2.520833333,1.989221844
1,high_entitlement,38889,survey-text,7,289580,0.0-7.0,82556,group1,I need you to take me to the ER right away.,D,Male,29,,high,non_institutional,D,5.666666667,2.107063433,3.085106383,2.272996368,5.208333333,1.687984236,2.520833333,1.989221844
1,high_entitlement,13968,survey-text,6,172504,0.0-6.0,50623,group1,"""I think I need to go to the hospital now.""",D,Female,36,,high,non_institutional,D,5.666666667,2.107063433,3.085106383,2.272996368,5.208333333,1.687984236,2.520833333,1.989221844
1,high_entitlement,55805,survey-text,9,510154,0.0-9.0,91014,group1,"Can you run me over to the ER, I don't think its very safe to drive with a head injury?",M,Female,32,,high,non_institutional,M,5.666666667,2.107063433,3.085106383,2.272996368,5.208333333,1.687984236,2.520833333,1.989221844
1,high_entitlement,58990,survey-text,5,246703,0.0-5.0,32506,group1,I don't feel so well... I think I need to see a doctor ASAP. Please take me to the nearest hospital.,D,Male,27,D,high,non_institutional,D,5.666666667,2.107063433,3.085106383,2.272996368,5.208333333,1.687984236,2.520833333,1.989221844
1,high_entitlement,13326,survey-text,9,141542,0.0-9.0,20310,group1,i need a ride to the hospital,D,Male,33,IS,high,non_institutional,D,5.666666667,2.107063433,3.085106383,2.272996368,5.208333333,1.687984236,2.520833333,1.989221844
1,high_entitlement,19823,survey-text,3,52029,0.0-3.0,17117,group1,Can you give me a ride to the hospital?,M,Male,31,M,high,non_institutional,M,5.666666667,2.107063433,3.085106383,2.272996368,5.208333333,1.687984236,2.520833333,1.989221844
1,high_entitlement,18181,survey-text,9,167078,0.0-9.0,60475,group1,"Dude, this is bad, could you drive me to the ER?",M,Male,43,,high,non_institutional,M,5.666666667,2.107063433,3.085106383,2.272996368,5.208333333,1.687984236,2.520833333,1.989221844
1,high_entitlement,35122,survey-text,7,230039,0.0-7.0,37109,group1,I think you should take me to the hospital to have someone take a look at my head.,D,Female,33,,high,non_institutional,D,5.666666667,2.107063433,3.085106383,2.272996368,5.208333333,1.687984236,2.520833333,1.989221844
1,high_entitlement,27878,survey-text,7,226721,0.0-7.0,32427,group1,"holy shit man, i need to go to the ER. right now let's go ",D,Male,48,D,high,non_institutional,D,5.666666667,2.107063433,3.085106383,2.272996368,5.208333333,1.687984236,2.520833333,1.989221844
1,high_entitlement,28928,survey-text,4,98339,0.0-4.0,36913,group1,can you please help me?,M,Male,30,,high,non_institutional,M,5.666666667,2.107063433,3.085106383,2.272996368,5.208333333,1.687984236,2.520833333,1.989221844
1,high_entitlement,46588,survey-text,5,238601,0.0-5.0,16264,group1,"I would ask, ""Please just get me out of here and take me to the ER.  I'm bleeding pretty bad.""",D,Male,30,M,high,non_institutional,D,5.666666667,2.107063433,3.085106383,2.272996368,5.208333333,1.687984236,2.520833333,1.989221844
1,high_entitlement,51259,survey-text,5,565698,0.0-5.0,3558,group1,"buddy, hurry!",D,Male,28,,high,non_institutional,D,5.666666667,2.107063433,3.085106383,2.272996368,5.208333333,1.687984236,2.520833333,1.989221844
1,high_entitlement,72965,survey-text,7,353983,0.0-7.0,34216,group1,Please take me immediately to emergency room as am scared of blood loss,D,Female,29,,high,non_institutional,D,5.666666667,2.107063433,3.085106383,2.272996368,5.208333333,1.687984236,2.520833333,1.989221844
1,high_entitlement,51327,survey-text,5,187145,0.0-5.0,27048,group1,I am serverely bleeding so can you please take me to the emergency room so I can get this gash looked at?,M,Female,42,M,high,non_institutional,M,5.666666667,2.107063433,3.085106383,2.272996368,5.208333333,1.687984236,2.520833333,1.989221844
1,high_entitlement,38313,survey-text,9,281642,0.0-9.0,24461,group1,"I think I might need to go to the emergency room, will you give me a ride.",M,Male,47,M,high,non_institutional,M,5.666666667,2.107063433,3.085106383,2.272996368,5.208333333,1.687984236,2.520833333,1.989221844
1,high_entitlement,16150,survey-text,4,121868,0.0-4.0,72843,group1,Get me to the emergency room fast!,D,Female,32,,high,non_institutional,D,5.666666667,2.107063433,3.085106383,2.272996368,5.208333333,1.687984236,2.520833333,1.989221844
1,high_entitlement,27383,survey-text,9,322103,0.0-9.0,46504,group1,I think I need to go to the hospital. ,D,Male,32,,high,non_institutional,D,5.666666667,2.107063433,3.085106383,2.272996368,5.208333333,1.687984236,2.520833333,1.989221844
1,high_entitlement,15820,survey-text,2,42297,0.0-2.0,64062,group1,Hey bud I need to go to the hospital asap. Can u take me?,M,Male,36,,high,non_institutional,M,5.666666667,2.107063433,3.085106383,2.272996368,5.208333333,1.687984236,2.520833333,1.989221844
1,high_entitlement,37413,survey-text,4,127452,0.0-4.0,18196,group1,Crap!  I am bleeding profusely!  Take me to the ER now!,D,Male,29,D,high,non_institutional,D,5.666666667,2.107063433,3.085106383,2.272996368,5.208333333,1.687984236,2.520833333,1.989221844
1,high_entitlement,93240,survey-text,4,383561,0.0-4.0,99924,group1,"please help me to go to the emergency room, i got a nasty tumble in my forehead",D,Male,43,,high,non_institutional,D,5.666666667,2.107063433,3.085106383,2.272996368,5.208333333,1.687984236,2.520833333,1.989221844
1,high_entitlement,381578,survey-text,8,978399,0.0-8.0,11719,group1,"Bro, I think I need to get an emergency treatment right now, let's go to hospital.",D,Male,32,D,high,non_institutional,D,5.666666667,2.107063433,3.085106383,2.272996368,5.208333333,1.687984236,2.520833333,1.989221844
1,high_entitlement,15180,survey-text,5,122270,0.0-5.0,19295,group1,Do you mind giving me a ride to the emergency room?,M,Female,28,EM,high,non_institutional,M,5.666666667,2.107063433,3.085106383,2.272996368,5.208333333,1.687984236,2.520833333,1.989221844
